sampleid	genus	species_river	species_waveformtype	species	locality	river	sex	SL	parasite	waveformtype	primerset	both_primersets	seq_plate	main_river	seq_run	code2
224BF2	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	female	85	0	BP	BF2 + BR1	yes	6	bambomo	3	224BF2
546BF2	Paramormyrops	P. kingsleyae bale	P. kingsleyae TP	P. kingsleyae	2019-026	bale	Male	88	NA	TP	BF2 + BR1	yes	6	bale	3	546BF2
244BF2	Mormyrops	Mormyrops nigricans above_falls	Mormyrops nigricans BP	Mormyrops nigricans	2019-019	above_falls	male	260	0	BP	BF2 + BR1	yes	6	above_falls	3	244BF2
512BF2	Marcusenius	Marcusenius moori bale	Marcusenius moori BP	Marcusenius moori	2019-026	bale	juvenile	73	NA	BP	BF2 + BR1	yes	6	bale	3	512BF2
508BF2	Mormyrops	Mormyrops zanchlirostris bale	Mormyrops zanchlirostris BP	Mormyrops zanchlirostris	2019-026	bale	female	177	NA	BP	BF2 + BR1	yes	6	bale	3	508BF2
460BF2	Paramormyrops	P. kingsleyae bale	P. kingsleyae TP	P. kingsleyae	2019-026	bale	juvenile	49	0	TP	BF2 + BR1	yes	6	bale	3	460BF2
462BF2	Paramormyrops	P. tenuicauda bale	P. tenuicauda BP	P. tenuicauda	2019-026	bale	juvenile	51	NA	BP	BF2 + BR1	yes	6	bale	3	462BF2
456BF2	Paramormyrops	P. szaboi bale	P. szaboi TP	P. szaboi	2019-026	bale	female	78	0	TP	BF2 + BR1	yes	6	bale	3	456BF2
109BF2	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	female	86	0	TP	BF2 + BR1	yes	6	iboundji	3	109BF2
82BF2	Paramormyrops	P. kingsleyae mengono	P. kingsleyae BP	P. kingsleyae	2019-002	mengono	male	135	0	BP	BF2 + BR1	yes	6	mengono	3	82BF2
248BF2	Paramormyrops	P. kingsleyae bambomo	P. kingsleyae BP	P. kingsleyae	2019-014	bambomo	female	100	0	BP	BF2 + BR1	yes	6	bambomo	3	248BF2
122BF2	Paramormyrops	P. kingsleyae iboundji	P. kingsleyae TP	P. kingsleyae	2019-001	iboundji	male	134	0	TP	BF2 + BR1	yes	6	iboundji	3	122BF2
282BF2	Paramormyrops	P. kingsleyae apassa	P. kingsleyae TP	P. kingsleyae	2019-021	apassa	male	79	1	TP	BF2 + BR1	yes	6	apassa	3	282BF2
453BF2	Paramormyrops	P. szaboi bale	P. szaboi TP	P. szaboi	2019-026	bale	juvenile	72	NA	TP	BF2 + BR1	yes	6	bale	3	453BF2
